protocolo;numero_licitacao;modalidade;cd_ugestora;valor_licitado;ano_homologacao;cnpj_proponente;valor_proposta;situacao_proposta
Doc. 00781/20;00001/2020;Pregao Presencial;201030;5339492;2020;2,02268E+13;38540360;1
Doc. 00781/20;00001/2020;Pregao Presencial;201030;1200000;2020;4,07872E+13;29834620;0
Doc. 00783/20;00003/2019;Tomada de Precos;201098;1426800;2020;2,70835E+13;16723458;0
Doc. 00783/20;00003/2019;Tomada de Precos;201098;11390000;2020;3,12469E+13;14606697;1
Doc. 00784/19;00003/2019;Pregao Presencial;201137;158497294;2019;1,14262E+13;4196070;1
Doc. 00784/20;00002/2020;Pregao Presencial;201030;5852982;2020;7,27898E+12;3308000;1
Doc. 00784/20;00002/2020;Pregao Presencial;201030;5852982;2020;1,98812E+13;13332000;1
Doc. 00784/20;00002/2020;Pregao Presencial;201030;5852982;2020;2,07546E+13;3140000;1
Doc. 00784/20;00002/2020;Pregao Presencial;201030;17006100;2020;2,19335E+13;19405000;0
Doc. 00784/20;00002/2020;Pregao Presencial;201030;5852982;2020;2,68379E+13;19405000;1
Doc. 00790/19;00008/2019;Pregao Presencial;201067;158497294;2019;4,82642E+12;2054800;0
Doc. 00790/19;00008/2019;Pregao Presencial;201067;158497294;2019;1,98355E+13;2613100;0
Doc. 00790/19;00008/2019;Pregao Presencial;201067;158497294;2019;2,25264E+13;1970609;0
Doc. 00790/19;00008/2019;Pregao Presencial;201067;158497294;2019;3,20561E+13;1872160;1
Doc. 00790/19;00008/2019;Pregao Presencial;201067;158497294;2019;4,09641E+13;2954470;0
Doc. 00801/19;00050/2018;Pregao Presencial;201061;8400000;2019;5,97918E+11;2258000;1
Doc. 00809/19;00001/2019;Pregao Eletronico;304095;205777650;2019;2,69646E+12;89999600;0
Doc. 00809/19;00001/2019;Pregao Eletronico;304095;205777650;2019;8,64954E+12;18200000;0
Doc. 00809/19;00001/2019;Pregao Eletronico;304095;205777650;2019;1,70205E+13;23760000;0
